ticker,entry_date,exit_date,entry_price,exit_price,shares,pnl,strategy,regime,pct_return
MS,2007-10-19,2007-10-22,65.05250664138794,62.5587051525116,123,-307.73758313178934,Yang,BULL,-0.03833520978098207
COP,2007-10-19,2007-10-23,66.86570679473877,63.537791475296025,144,-480.2198059997553,Zhan,BULL,-0.04977013597805261
AMD,2007-10-19,2007-10-25,14.497244771003722,13.213390266895296,1150,-1477.43267972469,Yang,BULL,-0.08855851745541976
AMZN,2007-10-19,2007-10-25,4.498748265266419,4.409294227123261,1294,-116.7535253572463,Yang,BULL,-0.0198842061988237
LLY,2007-10-24,2007-10-25,56.52825,52.12392652511597,294,-1295.871101615905,Yang,BULL,-0.07791367103853437
MRK,2007-10-23,2007-11-05,52.36395652198791,52.45467461204529,312,27.304044097902306,Yang,BULL,0.0017324529329499035
JNJ,2007-10-26,2007-11-08,64.21209030532836,64.55770133972169,253,86.43959170151223,Yang,BULL,0.005382335830370094
COP,2007-11-07,2007-11-08,64.53185307312012,63.9644769821167,266,-151.92204020690906,Yang,BULL,-0.00879218655569261
GOOGL,2007-10-19,2007-11-09,16.38857082080841,16.90295557975769,706,362.15563981819173,Yang,BULL,0.031386797822307404
MSFT,2007-10-25,2007-11-09,31.58578469467163,34.162910305023196,518,1333.951066162111,Yang,BULL,0.08159131189121016
MCD,2007-10-19,2007-11-12,56.37817347335815,58.51073091506958,246,523.609130661011,Zhan,BULL,0.037825940613687666
ORLY,2007-12-07,2007-12-12,2.2944797201156617,2.1675827444791795,5622,-714.4147970283027,Yang,BULL,-0.05530533764320456
COP,2007-12-10,2007-12-12,63.58610989952087,63.52255556678772,179,-12.376225559233418,Yang,BULL,-0.000999500249874957
COST,2007-10-25,2007-12-18,65.63279847335815,68.41577194976807,207,575.0755096168538,Yang,BULL,0.04240217606353619
AAPL,2007-12-07,2007-12-18,6.808402328252792,6.531732347488403,1653,-458.3354782035348,Zhan,BULL,-0.04063654987254394
GOOGL,2007-12-07,2007-12-18,17.90158929634094,16.862435154914856,549,-571.4956236429207,Zhan,BULL,-0.0580481500398675
XOM,2007-12-10,2007-12-18,91.795875,91.37428816986085,108,-46.531377655027995,Yang,BULL,-0.00459265549937999
MA,2007-10-19,2007-12-19,15.332662309169768,19.967010783195498,347,1607.1189204869283,Yang,BULL,0.3022533452167754
JPM,2007-12-26,2007-12-28,44.74236122131347,43.23836832237244,364,-548.453415214537,Yang,BULL,-0.03361451782800845
NVDA,2007-12-26,2008-01-02,0.8966981345415115,0.8248374045491219,11388,-819.3499931533324,Yang,BULL,-0.0801392656282624
MCD,2007-12-26,2008-01-02,60.04000332069397,58.070948474884034,97,-191.99832004356375,Yang,BULL,-0.03279571513833115
LLY,2007-12-26,2008-01-03,54.23710408401489,52.963506677627564,160,-204.7755850219719,Yang,BULL,-0.023482031865390232
UNH,2007-12-10,2008-01-07,56.67832652664184,55.51223091506958,230,-269.2019906616198,Yang,BULL,-0.020573924514587293
AAPL,2007-12-26,2008-01-07,7.111053826332092,6.46997754240036,2173,-1394.0587649836525,Zhan,BULL,-0.09015207866348003
XOM,2007-12-26,2008-01-07,93.72684030532837,91.17439122009277,113,-289.4267466316221,Zhan,BULL,-0.02723285109068685
AMZN,2007-12-26,2008-01-07,4.576286881685257,4.428784732580185,1490,-220.77820216655675,Yang,BULL,-0.03223184055514298
COP,2009-06-02,2009-06-08,36.60948974990845,34.10422765541077,142,-356.7472174186707,Yang,BULL,-0.06843204075260148
COST,2009-06-02,2009-06-11,49.54476045799255,46.68664408493042,185,-529.7515290164943,Zhan,BULL,-0.05768756063490182
GOOGL,2009-06-02,2009-06-15,10.672250305652618,10.542773995399475,1487,-193.53127334642312,Yang,BULL,-0.01213205336690471
JPM,2009-06-16,2009-06-17,34.287135457992555,32.713634542465215,827,-1302.2852571411104,Yang,BULL,-0.04589187444530444
NKE,2009-06-02,2009-06-18,14.754874169826508,14.067962309360505,2460,-1690.8031767463667,Yang,BULL,-0.046554911452293304
XOM,2009-06-02,2009-06-23,71.47572244262695,69.24535877990724,45,-101.36636482238698,Yang,BULL,-0.031204492749408834
CRM,2009-06-17,2009-06-23,10.04251913166046,9.365314885616304,2977,-2017.037040473456,Yang,BULL,-0.06743370235752652
MS,2009-06-18,2009-06-23,27.553770915985105,27.686150762557986,649,84.91452042580002,Yang,BULL,0.004804418494169967
PFE,2009-06-25,2009-07-06,13.8968880944252,13.655407955169679,765,-185.73230653047426,Zhan,BULL,-0.017376562120579555
MS,2009-06-25,2009-07-06,27.423704847335813,26.836575381278994,170,-100.81200922965922,Yang,BULL,-0.02140956042683846
NVDA,2009-06-25,2009-07-07,0.26888438692688943,0.2521238609403372,17837,-299.9575020221326,Yang,BULL,-0.062333578301478315
MSFT,2009-06-02,2009-07-08,21.370680610656738,22.298844466209413,1272,1179.6244242630032,Zhan,BULL,0.04343164695886362
BAC,2009-06-26,2009-07-13,12.346170152664184,12.983504771232605,458,290.89925530433663,Yang,BULL,0.051622050456747504
MCD,2009-06-25,2009-07-24,56.23810408401489,56.36180438995362,165,19.410550479889835,Yang,BULL,0.0021995817240554314
PFE,2009-07-17,2009-07-30,14.314553449630736,15.11577798318863,632,505.3739052085892,Yang,BULL,0.05597272289192947
ORLY,2009-06-26,2009-08-04,2.503251093506813,2.60602927839756,4083,418.6433289089199,Yang,BULL,0.041057880752491616
XOM,2009-08-04,2009-08-06,70.285125,69.69513835525512,130,-77.69826381683293,Yang,BULL,-0.008394189307408486
GS,2009-07-16,2009-08-11,155.0775,159.86003244018556,47,223.7790246887221,Yang,BULL,0.03083962818710372
AMZN,2009-07-24,2009-08-12,4.3821901144981386,4.295850858926773,2088,-181.27636563301132,Yang,BULL,-0.019702307137638504
GOOGL,2009-07-16,2009-08-18,10.933391934871674,11.133070130348207,827,164.13386765909297,Yang,BULL,0.01826315169765995
AAPL,2009-07-16,2009-08-18,5.208317082881927,5.7696137881278995,1576,883.6036074676524,Zhan,BULL,0.10776930365679445
CVX,2009-07-30,2009-08-18,67.96396530532837,66.52671755981446,134,-193.59119789886458,Yang,BULL,-0.021147202625053936
COP,2009-08-11,2009-08-18,33.59683381462097,32.45083037185669,388,-445.6493357925416,Yang,BULL,-0.034110459607225085
MA,2009-07-16,2009-09-02,17.157574667930604,19.990000000000002,395,1117.8080061674123,Zhan,BULL,0.16508308352948703
UNH,2009-08-06,2009-09-02,26.283135457992554,27.35631583881378,309,330.61273767375934,Yang,BULL,0.04083152036926704
MS,2009-08-12,2009-09-02,29.78488545799255,27.416285305023194,361,-856.0646552219379,Yang,BULL,-0.07952356091178994
NKE,2009-08-18,2009-09-02,13.886940114498138,13.523234733104706,1027,-374.5254266910546,Yang,BULL,-0.02619046229008498
NFLX,2009-08-18,2009-09-02,0.6157366986572742,0.5952731960117817,19056,-390.9525064125043,Yang,BULL,-0.033234177352294975
MRK,2009-06-25,2009-09-03,24.334680562019347,29.403229263305665,427,2163.270295449258,Yang,BULL,0.20828499015504306
HD,2009-08-21,2009-09-03,26.953470534324644,26.88654961872101,574,-39.41260555648662,Zhan,BULL,-0.0024828311262704715
AAPL,2009-09-02,2009-09-08,5.882225455284118,6.172983131408691,2122,615.9877887363447,Yin,CHOP,0.04942987621519676
AMZN,2009-09-03,2009-09-09,3.921459862589836,4.10994398856163,2762,519.5931559340955,Yin,CHOP,0.04806478520152806
WMT,2009-09-03,2009-09-15,17.058524236679077,16.8315801525116,724,-165.307516937254,Zhan,CHOP,-0.013303852139770972
NVDA,2009-08-18,2009-09-18,0.32166075333952904,0.38030973879992963,21319,1249.3377210302804,Yang,BULL,0.1823318040870645
MRK,2009-09-08,2009-09-23,29.52811574935913,29.93731343650818,418,170.04463322830267,Yang,BULL,0.01385790040320912
MA,2009-09-04,2009-09-25,20.355171813011168,21.424281966209413,536,572.0430421142596,Zhan,BULL,0.05252277716048866
JPM,2009-09-15,2009-09-25,43.631805610656734,44.12792652511597,294,144.85954885101455,Zhan,BULL,0.011370625338916971
JNJ,2009-09-04,2009-10-02,59.74986122131347,59.79008969497681,208,7.367522521973342,Yang,BULL,0.0006732814577481128
CVX,2009-09-04,2009-10-02,68.20408316802978,68.18589122009277,140,-3.54687271118172,Yang,BULL,-0.00026672813550171205
AMD,2009-09-09,2009-10-02,5.1525750954151155,5.217389790296555,1442,92.46279001903598,Yang,BULL,0.012579087869891176
JPM,2009-09-29,2009-10-02,44.91244438934326,40.79958969497681,269,-1107.3579127845744,Zhan,BULL,-0.09157494654961015
MS,2009-10-02,2009-10-05,29.294640686988828,29.8250801525116,295,155.47964232921768,Yang,BULL,0.018107048015726837
GS,2009-10-05,2009-10-22,180.86038927459717,179.94997328948975,65,-60.177039031982304,Yang,BULL,-0.005033805294564258
LLY,2009-10-07,2009-10-22,33.0165,33.95301622009278,360,336.1458392333997,Zhan,BULL,0.028365096848326655
JPM,2009-10-22,2009-10-27,44.94245816802978,43.87805152511597,301,-321.3863995170566,Yang,BULL,-0.02368376555937887
AAPL,2009-09-18,2009-10-28,6.640104377031326,6.867993252038956,1963,446.34586163997767,Yang,BULL,0.03432007421388082
COP,2009-09-04,2009-10-29,33.612088783264156,38.12724718284607,249,1123.2744414958966,Yang,BULL,0.13433138382729914
MS,2009-10-06,2009-10-29,30.065024236679076,33.04347137260437,345,1026.5642618942275,Yang,BULL,0.09906684632875222
GS,2009-10-27,2009-10-29,179.33962499999998,178.49071183013916,61,-52.783703361510135,Yang,BULL,-0.004733550490366097
XOM,2009-10-28,2009-11-02,74.55725664138794,72.11392652511597,146,-357.726196975707,Yang,BULL,-0.032771191247340424
JPM,2009-10-30,2009-11-02,43.97197576332092,42.55871183013916,204,-289.3058423690791,Yang,BULL,-0.032140105343199735
GS,2009-10-30,2009-11-02,177.30861122131347,170.59465267944336,45,-303.1281343841551,Yang,BULL,-0.03786594737629448
MCD,2009-09-25,2009-12-03,56.508239542007445,62.59868606758118,214,1302.3555564727787,Zhan,BULL,0.10777979591889743
UNH,2009-10-23,2009-12-03,26.11305038166046,28.255865457534792,510,1091.835688695909,Zhan,BULL,0.08205916369614401
COP,2009-11-09,2009-12-04,40.26281238555908,38.599648040771484,217,-361.90666281890833,Zhan,CHOP,-0.041307704212538245
NFLX,2009-10-02,2009-12-07,0.6366041632890701,0.8135930104851723,17568,3108.3400675411235,Yang,BULL,0.2780202477496756
AMZN,2009-09-23,2009-12-08,4.643320293903351,6.711642652511597,2816,5823.395761840822,Yang,BULL,0.44544038052338114
XOM,2009-12-04,2009-12-08,75.72784744262695,73.43326622009278,124,-285.52807159423793,Zhan,BULL,-0.030300362416515285
CVX,2009-10-30,2009-12-09,78.289125,76.87154866027832,125,-178.19704246520962,Yang,BULL,-0.01810693809289192
PFE,2009-11-06,2009-12-09,16.14658854675293,17.097709075927735,587,557.3077506256104,Yang,BULL,0.05890535492502375
NKE,2009-12-08,2009-12-09,16.008,15.479756440639497,765,-405.1063229107845,Yang,BULL,-0.032998723098482174
AMZN,2009-12-09,2009-12-11,6.733365019083022,6.70414623093605,1770,-52.717255020140215,Yin,CHOP,-0.004339403561839131
XOM,2009-12-10,2009-12-11,73.35665969467162,72.79358683013916,162,-92.21780405425821,Yang,BULL,-0.007675824756417552
BAC,2009-12-09,2009-12-14,15.457724809169768,15.622185114383699,690,112.47761059761213,Yin,CHOP,0.010639360400333312
ORLY,2009-12-11,2009-12-16,2.531264971375465,2.5074126586914063,4643,-111.74628779208525,Yang,BULL,-0.00942308014126934
CVX,2009-12-14,2009-12-18,78.4892219467163,76.86155152511597,176,-287.46999420165776,Yang,BULL,-0.020737502312168404
AMZN,2009-12-16,2009-12-22,6.5497734560966485,6.68415625,2521,337.7790234303491,Yin,CHOP,0.020517166708760828
CVX,2009-12-22,2009-12-24,77.86891683197021,77.3912853050232,185,-89.36183248519639,Yang,BULL,-0.006133789275349326
CVX,2009-12-29,2009-12-30,77.84890255737304,77.61117652511597,235,-56.86561758041192,Yang,BULL,-0.0030536850802986315
