ticker,entry_date,exit_date,entry_price,exit_price,shares,pnl,pct_return
MS,2007-10-19,2007-10-22,65.05250664138794,62.5587051525116,177,-442.4028635311115,-0.03833520978098207
COP,2007-10-19,2007-10-23,66.86570679473877,63.537791475296025,104,-347.1031932220455,-0.04977013597805261
AMD,2007-10-19,2007-10-25,14.497244771003722,13.213390266895296,1149,-1476.1488252205813,-0.08855851745541976
AMZN,2007-10-19,2007-10-25,4.498748265266419,4.409294227123261,1862,-167.56341902256,-0.0198842061988237
MRK,2007-10-23,2007-11-05,52.36395652198791,52.45467461204529,312,27.304044097902306,0.0017324529329499035
COP,2007-11-07,2007-11-08,64.53185307312012,63.9644769821167,272,-155.32629675292958,-0.00879218655569261
GOOGL,2007-10-19,2007-11-09,16.38857082080841,16.90295557975769,847,434.6838908300402,0.031386797822307404
MSFT,2007-10-25,2007-11-09,31.58578469467163,34.162910305023196,519,1336.5281917724624,0.08159131189121016
MCD,2007-10-22,2007-11-14,56.05801377868652,57.53122137260437,291,427.70340983009396,0.026280053369960244
NFLX,2007-12-07,2007-12-10,0.34145664659142494,0.3354032055437565,29983,-182.50032293224217,-0.01772828588371792
ORLY,2007-12-07,2007-12-12,2.2944797201156617,2.1675827444791795,7528,-956.2804325914377,-0.05530533764320456
PFE,2007-12-07,2007-12-12,22.94315415287018,22.578838600158694,553,-202.46650064945118,-0.015879052648299852
COP,2007-12-07,2007-12-12,63.68526147079467,63.52255556678772,166,-28.009180065153416,-0.0025548439348335463
COST,2007-10-25,2007-12-18,65.63279847335815,68.41577194976807,208,577.8584830932637,0.04240217606353619
MA,2007-10-19,2007-12-19,15.332662309169768,19.967010783195498,499,2311.539888538839,0.3022533452167754
JPM,2007-12-26,2007-12-28,44.74236122131347,43.23836832237244,336,-506.34161404418796,-0.03361451782800845
NVDA,2007-12-26,2008-01-02,0.8966981345415115,0.8248374045491219,13157,-946.4716245098696,-0.0801392656282624
MCD,2007-12-26,2008-01-02,60.04000332069397,58.070948474884034,146,-288.4820074882506,-0.03279571513833115
LLY,2007-12-26,2008-01-03,54.23710408401489,52.963506677627564,231,-295.2010008754719,-0.023482031865390232
UNH,2007-12-10,2008-01-07,56.67832652664184,55.51223091506958,305,-356.65916152953923,-0.020573924514587293
AMZN,2007-12-26,2008-01-07,4.576286881685257,4.428784732580185,2193,-324.4722129874221,-0.03223184055514298
COP,2009-06-02,2009-06-08,36.60948974990845,34.10422765541077,330,-827.7364911842346,-0.06843204075260148
GOOGL,2009-06-02,2009-06-15,10.672250305652618,10.542773995399475,1409,-183.432121146678,-0.01213205336690471
AMD,2009-06-02,2009-06-16,4.682339828252792,4.297850190639496,681,-262.837443214655,-0.08211485106085697
JPM,2009-06-08,2009-06-17,34.567274236679076,32.713634542465215,295,-547.8237097930889,-0.05362412093942246
NKE,2009-06-02,2009-06-18,14.754874169826508,14.067962309360505,1021,-702.3370095357888,-0.046554911452293304
CVX,2009-06-15,2009-06-22,71.99597908401489,67.04646183013917,241,-1193.83365818405,-0.06874713444899393
XOM,2009-06-02,2009-06-23,71.47572244262695,69.24535877990724,147,-328.8634584197975,-0.031204492749408834
AMZN,2009-06-02,2009-06-23,4.123060312986373,3.946525668025017,1610,-285.220778387784,-0.04281641100551612
CRM,2009-06-17,2009-06-23,10.04251913166046,9.365314885616304,1607,-1089.2672233929607,-0.06743370235752652
MS,2009-06-18,2009-06-23,27.553770915985105,27.686150762557986,365,47.3186439991017,0.004804418494169967
MS,2009-06-25,2009-07-06,27.423704847335813,26.836575381278994,240,-141.91107185363654,-0.02140956042683846
NVDA,2009-06-25,2009-07-07,0.26888438692688943,0.2521238609403372,25773,-432.96903625141124,-0.062333578301478315
MSFT,2009-06-16,2009-07-08,23.481734313011167,22.298844466209413,732,-866.8753678588836,-0.050374892715923346
GS,2009-06-22,2009-07-09,141.9409301147461,143.13840171051027,120,142.69659149170047,0.008436407981800075
MCD,2009-06-25,2009-07-24,56.23810408401489,56.36180438995362,253,30.296177402497747,0.0021995817240554314
ORLY,2009-07-16,2009-08-04,2.710021373391151,2.60602927839756,3722,-388.05857756614597,-0.03837316414352182
GS,2009-07-16,2009-08-11,155.0775,159.86003244018556,89,424.64538717651635,0.03083962818710372
AMZN,2009-07-24,2009-08-12,4.3821901144981386,4.295850858926773,3911,-338.67282853961075,-0.019702307137638504
