ticker,entry_date,exit_date,entry_price,exit_price,shares,pnl,pct_return
MS,2007-10-19,2007-10-22,65.05250664138794,62.5587051525116,173,-432.4276575756062,-0.03833520978098207
COP,2007-10-19,2007-10-23,66.86570679473877,63.537791475296025,131,-436.95690684699963,-0.04977013597805261
XOM,2007-10-19,2007-10-23,94.7473469467163,91.30432347488404,44,-152.49303276061954,-0.03633899610686237
AMD,2007-10-19,2007-10-25,14.497244771003722,13.213390266895296,1193,-1532.6384234013522,-0.08855851745541976
AMZN,2007-10-19,2007-10-25,4.498748265266419,4.409294227123261,2038,-183.3073297357558,-0.0198842061988237
NVDA,2007-10-19,2007-10-26,0.9859927280545234,0.8945524809360504,2427,-222.92547975653392,-0.09273927131176217
COP,2007-10-29,2007-10-31,64.8369295463562,64.73403524780274,269,-28.678566310882232,-0.0015869705625078932
MRK,2007-10-19,2007-11-05,50.70282134628295,52.45467461204529,164,286.303935585023,0.03455139614022218
GS,2007-10-19,2007-11-05,226.2630688934326,219.89000000000001,4,-26.492275573730353,-0.028166633311396624
NKE,2007-10-19,2007-11-08,15.742867156505584,15.699646707534791,148,-7.396626447677335,-0.0027453988235511713
GOOGL,2007-10-19,2007-11-09,16.38857082080841,16.90295557975769,998,512.3559894313814,0.031386797822307404
AAPL,2007-10-23,2007-11-09,6.737652974367141,6.109443940639496,2489,-1564.6122849481098,-0.0932385559359641
CRM,2007-10-25,2007-11-09,13.35667538166046,11.906544131278991,673,-976.9383315067288,-0.10856977570725339
MSFT,2007-10-31,2007-11-09,35.537760457992555,34.162910305023196,501,-689.7999266376486,-0.0386870229089
NFLX,2007-10-24,2007-11-13,0.3614666573256254,0.3512532711029053,31188,-319.53508951419485,-0.02825540341199281
MCD,2007-10-19,2007-11-14,56.37817347335815,57.53122137260437,43,48.58105966758737,0.02045202652390109
NFLX,2007-12-07,2007-12-10,0.34145664659142494,0.3354032055437565,21373,-130.38019551181708,-0.01772828588371792
ORLY,2007-12-07,2007-12-12,2.2944797201156617,2.1675827444791795,8173,-1038.1289818769687,-0.05530533764320456
PFE,2007-12-07,2007-12-12,22.94315415287018,22.578838600158694,523,-191.53703406810664,-0.015879052648299852
COP,2007-12-07,2007-12-12,63.68526147079467,63.52255556678772,129,-21.98906161689633,-0.0025548439348335463
COST,2007-10-19,2007-12-18,66.46321530532836,68.41577194976807,62,120.05851195526202,0.029378004592010364
XOM,2007-12-07,2007-12-18,91.295625,91.37428816986085,79,5.214390419006833,0.0008616313198014251
JPM,2007-12-07,2007-12-18,46.23310408401489,43.87805152511597,79,-187.04915215301457,-0.05093866409270969
NKE,2007-12-07,2007-12-18,16.35817538166046,15.92953125,234,-101.30272680854736,-0.026203664018728028
MA,2007-10-19,2007-12-19,15.332662309169768,19.967010783195498,475,2200.3155251622215,0.3022533452167754
JPM,2007-12-26,2007-12-28,44.74236122131347,43.23836832237244,314,-473.25377026748515,-0.03361451782800845
NVDA,2007-12-26,2008-01-02,0.8966981345415115,0.8248374045491219,12267,-882.5155748166429,-0.0801392656282624
MCD,2007-12-26,2008-01-02,60.04000332069397,58.070948474884034,165,-325.8940495586394,-0.03279571513833115
WMT,2007-12-07,2008-01-03,16.428210076332093,15.565546120166779,1033,-892.131866718769,-0.0525111349414835
CRM,2007-12-07,2008-01-03,14.279636288166046,14.992500000000001,150,105.92955677509337,0.049921699506081045
LLY,2007-12-26,2008-01-03,54.23710408401489,52.963506677627564,357,-455.6742740802748,-0.023482031865390232
MRK,2007-12-26,2008-01-03,56.52634169769287,54.66730904388428,100,-186.90326538085904,-0.03288789965837232
AMZN,2007-12-26,2008-01-07,4.576286881685257,4.428784732580185,1776,-262.9638168106072,-0.03223184055514298
GOOGL,2007-12-26,2008-01-07,17.500988934516904,16.356681917190553,401,-459.8671139478669,-0.0653852774610613
WMT,2009-06-02,2009-06-03,16.80172972011566,16.95151908493042,466,68.80184400367895,0.008915115723795285
MA,2009-06-02,2009-06-03,17.32065627479553,16.742623950958254,213,-124.12088497734007,-0.03337242623297199
NVDA,2009-06-03,2009-06-04,0.2678838699907064,0.27211387166380885,35877,150.75977002589644,0.015790430656572176
